0.175,112.255,103.772,103.039
0.176,112.252,103.748,103.019
0.177,112.249,103.723,102.998
0.178,112.247,103.699,102.978
0.179,112.243,103.674,102.957
0.18,112.24,103.65,102.937
0.181,112.237,103.626,102.917
0.182,112.234,103.602,102.897
0.183,112.23,103.578,102.878
0.184,112.227,103.554,102.858
0.185,112.223,103.53,102.838
0.186,112.219,103.507,102.819
0.187,112.215,103.483,102.8
0.188,112.211,103.46,102.781
0.189,112.207,103.436,102.761
0.19,112.203,103.413,102.742
0.191,112.198,103.39,102.724
0.192,112.194,103.367,102.705
0.193,112.189,103.344,102.686
0.194,112.185,103.321,102.668
0.195,112.18,103.299,102.649
0.196,112.175,103.276,102.631
0.197,112.17,103.253,102.613
0.198,112.165,103.231,102.594
0.199,112.16,103.209,102.576
0.2,112.155,103.187,102.558
0.201,112.15,103.164,102.541
0.202,112.144,103.142,102.523
0.203,112.139,103.12,102.505
0.204,112.133,103.099,102.488
0.205,112.128,103.077,102.47
0.206,112.122,103.055,102.453
0.207,112.116,103.034,102.436
0.208,112.11,103.012,102.418
0.209,112.104,102.991,102.401
0.21,112.098,102.97,102.384
0.211,112.092,102.948,102.367
0.212,112.086,102.927,102.351
0.213,112.079,102.906,102.334
0.214,112.073,102.885,102.317
0.215,112.066,102.865,102.301
0.216,112.06,102.844,102.284
0.217,112.053,102.823,102.268
0.218,112.047,102.803,102.252
0.219,112.04,102.782,102.235
0.22,112.033,102.762,102.219
0.221,112.026,102.742,102.203
0.222,112.019,102.721,102.187
0.223,112.012,102.701,102.171
0.224,112.004,102.681,102.156
0.225,111.997,102.661,102.14
0.226,111.99,102.641,102.124
0.227,111.982,102.622,102.109
0.228,111.975,102.602,102.093
0.229,111.967,102.582,102.078
0.23,111.96,102.563,102.062
0.231,111.952,102.543,102.047
0.232,111.944,102.524,102.032
0.233,111.936,102.504,102.017
0.234,111.928,102.485,102.002
0.235,111.92,102.466,101.987
0.236,111.912,102.447,101.972
0.237,111.904,102.428,101.957
0.238,111.896,102.409,101.942
0.239,111.888,102.39,101.928
0.24,111.879,102.371,101.913
0.241,111.871,102.353,101.898
0.242,111.863,102.334,101.884
0.243,111.854,102.316,101.87
0.244,111.846,102.297,101.855
0.245,111.837,102.279,101.841
0.246,111.828,102.26,101.827
0.247,111.819,102.242,101.813
0.248,111.811,102.224,101.798
0.249,111.802,102.206,101.784
0.25,111.793,102.188,101.77
0.251,111.784,102.17,101.757
0.252,111.775,102.152,101.743
0.253,111.766,102.134,101.729
0.254,111.756,102.116,101.715
0.255,111.747,102.099,101.701
0.256,111.738,102.081,101.688
0.257,111.729,102.063,101.674
0.258,111.719,102.046,101.661
0.259,111.71,102.029,101.647
0.26,111.7,102.011,101.634
0.261,111.691,101.994,101.621
0.262,111.681,101.977,101.607
0.263,111.671,101.96,101.594
0.264,111.662,101.943,101.581
0.265,111.652,101.926,101.568
0.266,111.642,101.909,101.555
0.267,111.632,101.892,101.542
0.268,111.622,101.875,101.529
0.269,111.612,101.858,101.516
0.27,111.602,101.841,101.503
0.271,111.592,101.825,101.491
0.272,111.582,101.808,101.478
0.273,111.572,101.792,101.465
0.274,111.562,101.775,101.453
0.275,111.552,101.759,101.44
0.276,111.541,101.743,101.427
0.277,111.531,101.726,101.415
0.278,111.521,101.71,101.403
0.279,111.51,101.694,101.39
0.28,111.5,101.678,101.378
0.281,111.489,101.662,101.366
0.282,111.479,101.646,101.353
0.283,111.468,101.63,101.341
0.284,111.458,101.614,101.329
0.285,111.447,101.598,101.317
0.286,111.436,101.583,101.305
0.287,111.425,101.567,101.293
0.288,111.415,101.551,101.281
0.289,111.404,101.536,101.269
0.29,111.393,101.52,101.257
0.291,111.382,101.505,101.245
0.292,111.371,101.49,101.234
